City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,bredasdorp,za,59.0,broken clouds,-61.04673062000808,16.457305050411232,
244,busselton,au,61.0,clear sky,-88.49112318438713,81.82041478626994,
245,bambous virieux,mu,75.0,shower rain,-32.91794392822842,76.74407246590538,
246,nueva loja,ec,75.2,light rain,-0.8198350342713351,-76.4215351265337,
247,asyut,eg,48.2,clear sky,25.700904877018374,28.58112161491848,
248,paamiut,gl,41.23,light rain,60.84338047036756,-52.1435871587849,
249,tiksi,ru,2.3,overcast clouds,81.70785419005587,125.63424222699716,
250,vaini,to,78.8,moderate rain,-30.38525053932394,-175.88386618879966,
251,kapaa,us,80.6,light rain,17.817591252312145,-161.34419077011896,
252,jalhay,be,37.99,light rain,50.482981469686024,5.967072477194546,Hostellerie le Roannay
254,souillac,mu,73.4,shower rain,-59.77527771072998,76.35796524329571,
255,saldanha,za,59.0,clear sky,-42.34689789134568,-5.796188463359512,
257,jinxiang,cn,57.76,overcast clouds,26.97097118524408,121.99481915077106,
259,hermanus,za,61.0,overcast clouds,-66.82599071940517,12.115383907700751,
260,arraial do cabo,br,75.2,clear sky,-29.198155415963072,-40.28861757307136,
261,busselton,au,61.0,clear sky,-54.53471418195862,88.41986745670475,
262,hermanus,za,61.0,overcast clouds,-89.33598036053152,-0.2726892957499856,
263,georgetown,sh,77.0,few clouds,-5.435204101866689,-16.35886469997817,
265,dandong,cn,23.74,clear sky,39.77154799869092,125.39872259437976,
267,nara,ml,44.6,broken clouds,18.765519241272898,-8.242812407756912,
268,sterling,us,37.0,clear sky,60.52891483345321,-150.51317825307504,Watson Lake Campground
269,sao filipe,cv,75.0,overcast clouds,11.120651637653044,-26.179009742712154,
270,bredasdorp,za,59.0,broken clouds,-86.29247536570601,25.413043197274924,
273,lebu,cl,61.21,clear sky,-38.413093964392544,-81.78484091154544,
274,gazi,ke,62.01,scattered clouds,-4.3487682136440835,39.33414549370136,
276,beli potok,rs,41.0,clear sky,43.501425662972316,22.04596721341386,
277,hilo,us,77.0,moderate rain,5.77822408941848,-157.60644525697543,
278,port lincoln,au,58.37,overcast clouds,-34.93692471060688,136.1025467266402,
279,rikitea,pf,78.26,light rain,-12.041397085615234,-119.8549889401467,
280,provideniya,ru,19.4,snow,42.6761045794888,-176.81219285457504,
281,kavieng,pg,85.78,few clouds,0.80976518723495,151.0633236920191,
282,sorland,no,37.85,overcast clouds,71.08373499694719,8.995412535262588,
283,esperance,au,60.8,clear sky,-56.225777861833656,126.73895281455107,
286,port alfred,za,66.99,scattered clouds,-46.51160268567558,31.51233155536386,
287,komsomolskiy,ru,30.2,mist,76.62328668813777,173.25343172977443,
288,dingli,mt,55.0,scattered clouds,34.50964713401902,13.640602391426976,
